city,state_id,state_name,lat,lng,population,id
Whatley,AL,Alabama,31.6463,-87.7108,280,1840025933
Dixie,WV,West Virginia,38.251,-81.1943,280,1840025667
Cave-In-Rock,IL,Illinois,37.4708,-88.1659,280,1840029873
Beaver Creek,MN,Minnesota,43.6124,-96.3624,280,1840006817
Ephraim,WI,Wisconsin,45.1589,-87.1667,280,1840001844
Sherrodsville,OH,Ohio,40.4945,-81.2441,280,1840011999
Almira,WA,Washington,47.7107,-118.9368,280,1840021108
Waukeenah,FL,Florida,30.402,-83.96,280,1840026008
Rushville,MO,Missouri,39.5874,-95.0237,280,1840010600
Strawberry,AR,Arkansas,35.9665,-91.3211,280,1840016135
West Harrison,IN,Indiana,39.2581,-84.8226,280,1840030041
Boligee,AL,Alabama,32.7699,-88.0264,280,1840015759
River Bottom,OK,Oklahoma,35.6357,-95.2378,280,1840074577
Kimballton,IA,Iowa,41.6271,-95.0749,280,1840008166
Colome,SD,South Dakota,43.2599,-99.7174,280,1840000346
Empire,OH,Ohio,40.5117,-80.6261,280,1840012121
Railroad,PA,Pennsylvania,39.7596,-76.696,280,1840001460
Ebro,FL,Florida,30.4369,-85.8791,280,1840017178
Lenapah,OK,Oklahoma,36.8514,-95.6356,280,1840021588
Hawkins,WI,Wisconsin,45.5114,-90.7148,280,1840002080
Trenton,NC,North Carolina,35.064,-77.3553,280,1840016445
New Hampshire,OH,Ohio,40.554,-83.9531,280,1840026427
Finesville,NJ,New Jersey,40.6112,-75.1706,280,1840024224
De Soto,WI,Wisconsin,43.4283,-91.1963,279,1840002695
Cairo,MO,Missouri,39.5115,-92.4411,279,1840010619
Gonvick,MN,Minnesota,47.7391,-95.5125,279,1840007710
West Peavine,OK,Oklahoma,35.9133,-94.6481,279,1840034661
Rowesville,SC,South Carolina,33.3722,-80.8362,279,1840018007
Lakota,IA,Iowa,43.3786,-94.0963,279,1840007957
Bowlus,MN,Minnesota,45.8191,-94.4072,279,1840006670
Airport Road Addition,TX,Texas,27.219,-98.0981,279,1840018301
Luana,IA,Iowa,43.0594,-91.4557,279,1840009065
Yankee Hill,CA,California,39.7007,-121.5147,279,1840025575
Covington,TX,Texas,32.1781,-97.2605,279,1840019509
Tehuacana,TX,Texas,31.741,-96.5436,279,1840023116
Manderson-White Horse Creek,SD,South Dakota,43.2349,-102.4916,279,1840035310
East Laurinburg,NC,North Carolina,34.7691,-79.445,279,1840016500
Freeman Spur,IL,Illinois,37.8611,-88.9993,279,1840012987
Riverton,IA,Iowa,40.6867,-95.5686,279,1840009385
Wedgewood,MI,Michigan,44.1937,-85.4902,279,1840039607
Sautee-Nacoochee,GA,Georgia,34.6895,-83.686,279,1840140880
Casstown,OH,Ohio,40.0528,-84.1285,278,1840010509
Talala,OK,Oklahoma,36.5294,-95.7011,278,1840022655
Harcourt,IA,Iowa,42.2606,-94.1745,278,1840006941
Buckingham,IL,Illinois,41.047,-88.175,278,1840010288
Pacific Beach,WA,Washington,47.215,-124.1967,278,1840023817
Simms,OK,Oklahoma,35.3987,-95.1647,278,1840034660
Dorrington,CA,California,38.2949,-120.2706,278,1840018862
Waiohinu,HI,Hawaii,19.0716,-155.6143,278,1840029561
Biggsville,IL,Illinois,40.8535,-90.8622,278,1840011790
Lacassine,LA,Louisiana,30.2331,-92.9208,278,1840026023
Kaycee,WY,Wyoming,43.71,-106.6372,278,1840021260
Dalton,NE,Nebraska,41.4083,-102.9708,278,1840011642
Damascus,OH,Ohio,40.9042,-80.9524,278,1840026376
Burlington,MI,Michigan,42.1047,-85.0776,278,1840010119
Hartleton,PA,Pennsylvania,40.9002,-77.1564,278,1840003530
La Carla,TX,Texas,26.4354,-98.7406,278,1840040894
Cuylerville,NY,New York,42.7777,-77.8737,278,1840024068
Anthoston,KY,Kentucky,37.7553,-87.5327,278,1840030366
Gordonville,AL,Alabama,32.1489,-86.6994,278,1840017008
Quantico,MD,Maryland,38.3767,-75.7526,278,1840024671
Beatrice,AL,Alabama,31.7332,-87.209,278,1840015858
Goodnews Bay,AK,Alaska,59.1271,-161.5754,277,1840023357
Hickory,KY,Kentucky,36.8174,-88.6484,277,1840030472
Climax Springs,MO,Missouri,38.1004,-93.0528,277,1840012919
Coleman,OK,Oklahoma,34.2635,-96.4194,277,1840034430
Nicut,OK,Oklahoma,35.5986,-94.5626,277,1840024948
Staples,TX,Texas,29.7664,-97.8279,277,1840027027
Royal,IL,Illinois,40.1932,-87.9725,277,1840012228
Saline,LA,Louisiana,32.163,-92.9766,277,1840018100
Siloam,GA,Georgia,33.5366,-83.0812,277,1840018004
Keyes,OK,Oklahoma,36.8077,-102.2518,277,1840021624
Altamont,UT,Utah,40.359,-110.288,277,1840021392
Reserve,NM,New Mexico,33.709,-108.7614,277,1840022841
Hanley Falls,MN,Minnesota,44.6917,-95.6194,277,1840006764
Holland,IA,Iowa,42.4002,-92.7988,277,1840006966
Sparta,KY,Kentucky,38.6969,-84.9073,277,1840015177
Lake George,MN,Minnesota,47.1881,-94.9801,277,1840025255
Leach,OK,Oklahoma,36.1979,-94.9099,277,1840017697
Laketown,UT,Utah,41.8276,-111.3243,276,1840021325
Le Raysville,PA,Pennsylvania,41.8381,-76.1776,276,1840000513
Oakford,IL,Illinois,40.1011,-89.9651,276,1840012399
Armstrong,MO,Missouri,39.2692,-92.7042,276,1840007378
Buckman,MN,Minnesota,45.8973,-94.094,276,1840006669
Malverne Park Oaks,NY,New York,40.6816,-73.6643,276,1840034037
Chula Vista,TX,Texas,26.0739,-97.4397,276,1840143770
Stockport,IA,Iowa,40.8573,-91.8334,276,1840009389
Utica,MN,Minnesota,43.9772,-91.9494,276,1840010033
Crosby,MS,Mississippi,31.2791,-91.063,276,1840017114
Ridgeland,WI,Wisconsin,45.2025,-91.8965,276,1840002147
Redvale,CO,Colorado,38.1761,-108.4126,276,1840026737
Sebastopol,MS,Mississippi,32.5679,-89.334,276,1840018090
Depauville,NY,New York,44.1425,-76.0451,276,1840004106
Cyrus,MN,Minnesota,45.6147,-95.7381,276,1840006691
Arrowsmith,IL,Illinois,40.4493,-88.6321,276,1840011970
Olde West Chester,OH,Ohio,39.3353,-84.4034,276,1840034375
Kilbourne,IL,Illinois,40.1519,-90.0115,276,1840012206
Browntown,WI,Wisconsin,42.5788,-89.7894,276,1840002462
Lamoille,NV,Nevada,40.7238,-115.479,276,1840024116
Albion,ID,Idaho,42.4099,-113.5806,276,1840018682
Matheny,WV,West Virginia,37.664,-81.5985,276,1840038269
Seldovia,AK,Alaska,59.4396,-151.7111,275,1840023422
Stratton,OH,Ohio,40.5254,-80.6315,275,1840012129
Yarrowsburg,MD,Maryland,39.3762,-77.6843,275,1840024413
Whiterocks,UT,Utah,40.4722,-109.9413,275,1840018749
Ionia,IA,Iowa,43.0359,-92.4584,275,1840008000
East Hodge,LA,Louisiana,32.2776,-92.7141,275,1840018112
Double Spring,NV,Nevada,38.7788,-119.6154,275,1840039798
Timberon,NM,New Mexico,32.6358,-105.6925,275,1840019402
Shirley,AR,Arkansas,35.6442,-92.3137,275,1840017827
Hollandale,WI,Wisconsin,42.8756,-89.9342,275,1840002956
Cape May Point,NJ,New Jersey,38.9372,-74.9651,275,1840001595
Calvin,OK,Oklahoma,34.9672,-96.253,275,1840022790
White Oak,MS,Mississippi,34.6438,-90.3495,275,1840025842
Washingtonville,PA,Pennsylvania,41.0523,-76.6749,275,1840000855
Lodgepole,NE,Nebraska,41.149,-102.6391,275,1840011641
Chesterhill,OH,Ohio,39.4908,-81.8667,275,1840010606
